Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,166.973200,-174.682400,0.000000,bottom
C2,22pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,166.973200,-165.158000,180.000000,bottom
C3,1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,153.950600,-159.602100,180.000000,bottom
C4,0.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,161.093900,-177.063500,90.000000,bottom
C5,0.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,160.528050,-162.401300,270.000000,bottom
C6,0.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,145.219900,-177.006150,270.000000,bottom
C7,10uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,146.807300,-163.570600,0.000000,bottom
F1,500mA,Fuse_1206_3216Metric,79.820300,-83.089700,90.000000,bottom
J1,USB_B_Micro,USB_Micro-B_Wuerth_629105150521,84.112100,-72.872600,0.000000,bottom
Q1,2N7002,SOT-23,84.898700,-141.347000,0.000000,bottom
R1,22,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,85.153500,-87.375600,90.000000,bottom
R2,22,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,82.550000,-87.375600,90.000000,bottom
R3,10k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,147.601000,-177.007420,270.000000,bottom
R6,10k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,162.560050,-162.401300,90.000000,bottom
U1,ATmega32U4-AU,ATMEGA32U4-AU,154.276500,-169.903750,270.000000,bottom
U2,SRV05-4,SOT-23-6,83.820000,-82.872600,270.000000,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,166.649800,-169.920200,90.000000,bottom
D1,D_Small,Diode-Hybrid-Back,63.468250,-77.851000,270.000000,top
D2,D_Small,Diode-Hybrid-Back,105.537000,-80.232250,270.000000,top
D3,D_Small,Diode-Hybrid-Back,124.587000,-77.851000,270.000000,top
D4,D_Small,Diode-Hybrid-Back,143.637000,-77.851000,270.000000,top
D5,D_Small,Diode-Hybrid-Back,162.687000,-77.851000,270.000000,top
D6,D_Small,Diode-Hybrid-Back,181.737000,-77.851000,270.000000,top
D7,D_Small,Diode-Hybrid-Back,200.787000,-77.851000,270.000000,top
D8,D_Small,Diode-Hybrid-Back,219.837000,-77.851000,270.000000,top
D9,D_Small,Diode-Hybrid-Back,238.887000,-77.851000,270.000000,top
D10,D_Small,Diode-Hybrid-Back,257.937000,-77.851000,270.000000,top
D11,D_Small,Diode-Hybrid-Back,276.987000,-77.851000,270.000000,top
D12,D_Small,Diode-Hybrid-Back,296.037000,-77.851000,270.000000,top
D13,D_Small,Diode-Hybrid-Back,315.087000,-77.851000,270.000000,top
D14,D_Small,Diode-Hybrid-Back,334.137000,-77.851000,270.000000,top
D15,D_Small,Diode-Hybrid-Back,338.899500,-77.851000,270.000000,top
D16,D_Small,Diode-Hybrid-Back,76.962000,-96.901000,270.000000,top
D17,D_Small,Diode-Hybrid-Back,96.012000,-96.901000,270.000000,top
D18,D_Small,Diode-Hybrid-Back,115.062000,-96.901000,270.000000,top
D19,D_Small,Diode-Hybrid-Back,134.112000,-96.901000,270.000000,top
D20,D_Small,Diode-Hybrid-Back,153.162000,-96.901000,270.000000,top
D21,D_Small,Diode-Hybrid-Back,172.212000,-96.901000,270.000000,top
D22,D_Small,Diode-Hybrid-Back,191.262000,-96.901000,270.000000,top
D23,D_Small,Diode-Hybrid-Back,210.312000,-96.901000,270.000000,top
D24,D_Small,Diode-Hybrid-Back,229.362000,-96.901000,270.000000,top
D25,D_Small,Diode-Hybrid-Back,248.412000,-96.901000,270.000000,top
D26,D_Small,Diode-Hybrid-Back,267.462000,-96.901000,270.000000,top
D27,D_Small,Diode-Hybrid-Back,286.512000,-96.901000,270.000000,top
D28,D_Small,Diode-Hybrid-Back,305.562000,-96.901000,270.000000,top
D29,D_Small,Diode-Hybrid-Back,334.137000,-96.901000,270.000000,top
D30,D_Small,Diode-Hybrid-Back,343.662000,-96.901000,270.000000,top
D31,D_Small,Diode-Hybrid-Back,63.468250,-115.951000,270.000000,top
D32,D_Small,Diode-Hybrid-Back,105.537000,-115.951000,270.000000,top
D33,D_Small,Diode-Hybrid-Back,124.587000,-115.951000,270.000000,top
D34,D_Small,Diode-Hybrid-Back,143.637000,-115.951000,270.000000,top
D35,D_Small,Diode-Hybrid-Back,162.687000,-115.951000,270.000000,top
D36,D_Small,Diode-Hybrid-Back,181.737000,-115.951000,270.000000,top
D37,D_Small,Diode-Hybrid-Back,200.787000,-115.951000,270.000000,top
D38,D_Small,Diode-Hybrid-Back,219.837000,-115.951000,270.000000,top
D39,D_Small,Diode-Hybrid-Back,238.887000,-115.951000,270.000000,top
D40,D_Small,Diode-Hybrid-Back,257.937000,-115.951000,270.000000,top
D41,D_Small,Diode-Hybrid-Back,276.987000,-115.951000,270.000000,top
D42,D_Small,Diode-Hybrid-Back,294.449500,-115.951000,270.000000,top
D43,D_Small,Diode-Hybrid-Back,297.624500,-115.951000,270.000000,top
D44,D_Small,Diode-Hybrid-Back,338.899500,-115.951000,270.000000,top
D45,D_Small,Diode-Hybrid-Back,343.662000,-115.951000,270.000000,top
D46,D_Small,Diode-Hybrid-Back,65.849500,-135.001000,270.000000,top
D47,D_Small,Diode-Hybrid-Back,110.299500,-135.001000,270.000000,top
D48,D_Small,Diode-Hybrid-Back,129.349500,-135.001000,270.000000,top
D49,D_Small,Diode-Hybrid-Back,148.399500,-135.001000,270.000000,top
D50,D_Small,Diode-Hybrid-Back,165.862000,-135.001000,270.000000,top
D51,D_Small,Diode-Hybrid-Back,169.037000,-135.001000,270.000000,top
D52,D_Small,Diode-Hybrid-Back,205.549500,-135.001000,270.000000,top
D53,D_Small,Diode-Hybrid-Back,224.599500,-135.001000,270.000000,top
D54,D_Small,Diode-Hybrid-Back,243.649500,-135.001000,270.000000,top
D55,D_Small,Diode-Hybrid-Back,262.699500,-135.001000,270.000000,top
D56,D_Small,Diode-Hybrid-Back,281.749500,-135.001000,270.000000,top
D57,D_Small,Diode-Hybrid-Back,300.799500,-135.001000,270.000000,top
D58,D_Small,Diode-Hybrid-Back,331.755750,-135.001000,270.000000,top
D59,D_Small,Diode-Hybrid-Back,343.662000,-135.001000,270.000000,top
D60,D_Small,Diode-Hybrid-Back,88.868250,-154.051000,270.000000,top
D61,D_Small,Diode-Hybrid-Back,119.824500,-154.051000,270.000000,top
D62,D_Small,Diode-Hybrid-Back,138.874500,-154.051000,270.000000,top
D63,D_Small,Diode-Hybrid-Back,157.924500,-154.051000,270.000000,top
D64,D_Small,Diode-Hybrid-Back,176.974500,-154.051000,270.000000,top
D65,D_Small,Diode-Hybrid-Back,196.024500,-154.051000,270.000000,top
D66,D_Small,Diode-Hybrid-Back,215.074500,-154.051000,270.000000,top
D67,D_Small,Diode-Hybrid-Back,234.124500,-154.051000,270.000000,top
D68,D_Small,Diode-Hybrid-Back,253.174500,-154.051000,270.000000,top
D69,D_Small,Diode-Hybrid-Back,272.224500,-154.051000,270.000000,top
D70,D_Small,Diode-Hybrid-Back,291.274500,-154.051000,270.000000,top
D71,D_Small,Diode-Hybrid-Back,317.468250,-154.051000,270.000000,top
D72,D_Small,Diode-Hybrid-Back,324.612000,-154.051000,270.000000,top
D73,D_Small,Diode-Hybrid-Back,343.662000,-154.051000,270.000000,top
D74,D_Small,Diode-Hybrid-Back,61.880750,-173.101000,270.000000,top
D75,D_Small,Diode-Hybrid-Back,103.155750,-173.101000,270.000000,top
D76,D_Small,Diode-Hybrid-Back,126.968250,-173.101000,270.000000,top
D77,D_Small,Diode-Hybrid-Back,198.405750,-173.101000,270.000000,top
D78,D_Small,Diode-Hybrid-Back,267.462000,-173.101000,270.000000,top
D79,D_Small,Diode-Hybrid-Back,286.512000,-173.101000,270.000000,top
D80,D_Small,Diode-Hybrid-Back,305.562000,-173.101000,270.000000,top
D81,D_Small,Diode-Hybrid-Back,324.612000,-173.101000,270.000000,top
D82,D_Small,Diode-Hybrid-Back,342.392000,-173.101000,270.000000,top
D83,D_Small,Diode-Hybrid-Back,344.932000,-173.101000,270.000000,top
R4,4.7k,Resistor-Hybrid-Back,92.835700,-144.521800,90.000000,top
R5,470,Resistor-Hybrid-Back,74.580600,-143.161300,180.000000,top
