Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,166.9732,-174.6824,0,bottom
C2,22pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,166.9732,-165.158,180,bottom
C3,1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,153.9506,-159.6021,180,bottom
C4,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,161.0939,-177.0635,90,bottom
C5,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,160.52805,-162.4013,270,bottom
C6,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,145.2199,-177.00615,270,bottom
C7,10uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,146.8073,-163.5706,0,bottom
F1,500mA,Fuse_1206_3216Metric,78.10385,-83.0897,90,bottom
J1,USB_B_Micro,USB_Micro-B_Wuerth_629105150521,83.80575,-73.2155,0,bottom
Q1,2N7002,SOT-23,80.391,-143.764,0,bottom
R1,22,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,84.8233,-87.3756,90,bottom
R2,22,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,82.2198,-87.3756,90,bottom
R3,10k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,147.601,-177.00742,270,bottom
R4,4.7k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,85.598,-143.764,270,bottom
R5,470,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,73.533,-143.764,0,bottom
R6,10k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,162.56005,-162.4013,90,bottom
U1,ATmega32U4-AU,ATMEGA32U4-AU,154.2765,-169.90375,0,bottom
U2,SRV05-4,SOT-23-6,83.4771,-81.2155,180,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,166.6498,-169.9202,90,bottom
D1,D_Small,Diode-Hybrid-Back,63.46825,-77.851,270,top
D2,D_Small,Diode-Hybrid-Back,105.537,-80.23225,270,top
D3,D_Small,Diode-Hybrid-Back,124.587,-77.851,270,top
D4,D_Small,Diode-Hybrid-Back,143.637,-77.851,270,top
D5,D_Small,Diode-Hybrid-Back,162.687,-77.851,270,top
D6,D_Small,Diode-Hybrid-Back,181.737,-77.851,270,top
D7,D_Small,Diode-Hybrid-Back,200.787,-77.851,270,top
D8,D_Small,Diode-Hybrid-Back,219.837,-77.851,270,top
D9,D_Small,Diode-Hybrid-Back,238.887,-77.851,270,top
D10,D_Small,Diode-Hybrid-Back,257.937,-77.851,270,top
D11,D_Small,Diode-Hybrid-Back,276.987,-77.851,270,top
D12,D_Small,Diode-Hybrid-Back,296.037,-77.851,270,top
D13,D_Small,Diode-Hybrid-Back,315.087,-77.851,270,top
D14,D_Small,Diode-Hybrid-Back,334.137,-77.851,270,top
D15,D_Small,Diode-Hybrid-Back,338.8995,-77.851,270,top
D16,D_Small,Diode-Hybrid-Back,76.962,-96.901,270,top
D17,D_Small,Diode-Hybrid-Back,96.012,-96.901,270,top
D18,D_Small,Diode-Hybrid-Back,115.062,-96.901,270,top
D19,D_Small,Diode-Hybrid-Back,134.112,-96.901,270,top
D20,D_Small,Diode-Hybrid-Back,153.162,-96.901,270,top
D21,D_Small,Diode-Hybrid-Back,172.212,-96.901,270,top
D22,D_Small,Diode-Hybrid-Back,191.262,-96.901,270,top
D23,D_Small,Diode-Hybrid-Back,210.312,-96.901,270,top
D24,D_Small,Diode-Hybrid-Back,229.362,-96.901,270,top
D25,D_Small,Diode-Hybrid-Back,248.412,-96.901,270,top
D26,D_Small,Diode-Hybrid-Back,267.462,-96.901,270,top
D27,D_Small,Diode-Hybrid-Back,286.512,-96.901,270,top
D28,D_Small,Diode-Hybrid-Back,305.562,-96.901,270,top
D29,D_Small,Diode-Hybrid-Back,334.137,-96.901,270,top
D30,D_Small,Diode-Hybrid-Back,343.662,-96.901,270,top
D31,D_Small,Diode-Hybrid-Back,63.46825,-115.951,270,top
D32,D_Small,Diode-Hybrid-Back,105.537,-115.951,270,top
D33,D_Small,Diode-Hybrid-Back,124.587,-115.951,270,top
D34,D_Small,Diode-Hybrid-Back,143.637,-115.951,270,top
D35,D_Small,Diode-Hybrid-Back,162.687,-115.951,270,top
D36,D_Small,Diode-Hybrid-Back,181.737,-115.951,270,top
D37,D_Small,Diode-Hybrid-Back,200.787,-115.951,270,top
D38,D_Small,Diode-Hybrid-Back,219.837,-115.951,270,top
D39,D_Small,Diode-Hybrid-Back,238.887,-115.951,270,top
D40,D_Small,Diode-Hybrid-Back,257.937,-115.951,270,top
D41,D_Small,Diode-Hybrid-Back,276.987,-115.951,270,top
D42,D_Small,Diode-Hybrid-Back,294.4495,-115.951,270,top
D43,D_Small,Diode-Hybrid-Back,297.6245,-115.951,270,top
D44,D_Small,Diode-Hybrid-Back,338.8995,-115.951,270,top
D45,D_Small,Diode-Hybrid-Back,343.662,-115.951,270,top
D46,D_Small,Diode-Hybrid-Back,62.59675,-135.001,270,top
D47,D_Small,Diode-Hybrid-Back,110.2995,-135.001,270,top
D48,D_Small,Diode-Hybrid-Back,129.3495,-135.001,270,top
D49,D_Small,Diode-Hybrid-Back,148.3995,-135.001,270,top
D50,D_Small,Diode-Hybrid-Back,165.862,-135.001,270,top
D51,D_Small,Diode-Hybrid-Back,169.037,-135.001,270,top
D52,D_Small,Diode-Hybrid-Back,205.5495,-135.001,270,top
D53,D_Small,Diode-Hybrid-Back,224.5995,-135.001,270,top
D54,D_Small,Diode-Hybrid-Back,243.6495,-135.001,270,top
D55,D_Small,Diode-Hybrid-Back,262.6995,-135.001,270,top
D56,D_Small,Diode-Hybrid-Back,281.7495,-135.001,270,top
D57,D_Small,Diode-Hybrid-Back,299.213,-134.9987,270,top
D58,D_Small,Diode-Hybrid-Back,302.3878,-134.9987,270,top
D59,D_Small,Diode-Hybrid-Back,331.75575,-135.001,270,top
D60,D_Small,Diode-Hybrid-Back,343.662,-135.001,270,top
D61,D_Small,Diode-Hybrid-Back,62.6904,-154.0475,270,top
D62,D_Small,Diode-Hybrid-Back,100.77285,-154.0498,270,top
D63,D_Small,Diode-Hybrid-Back,119.8245,-154.051,270,top
D64,D_Small,Diode-Hybrid-Back,138.8745,-154.051,270,top
D65,D_Small,Diode-Hybrid-Back,157.9245,-154.051,270,top
D66,D_Small,Diode-Hybrid-Back,176.9745,-154.051,270,top
D67,D_Small,Diode-Hybrid-Back,196.0245,-154.051,270,top
D68,D_Small,Diode-Hybrid-Back,215.0745,-154.051,270,top
D69,D_Small,Diode-Hybrid-Back,234.1245,-154.051,270,top
D70,D_Small,Diode-Hybrid-Back,253.1745,-154.051,270,top
D71,D_Small,Diode-Hybrid-Back,272.2245,-154.051,270,top
D72,D_Small,Diode-Hybrid-Back,291.2745,-154.051,270,top
D73,D_Small,Diode-Hybrid-Back,317.46825,-154.051,270,top
D74,D_Small,Diode-Hybrid-Back,324.612,-154.051,270,top
D75,D_Small,Diode-Hybrid-Back,343.662,-154.051,270,top
D76,D_Small,Diode-Hybrid-Back,61.88075,-173.101,270,top
D77,D_Small,Diode-Hybrid-Back,103.15575,-173.101,270,top
D78,D_Small,Diode-Hybrid-Back,126.96825,-173.101,270,top
D79,D_Small,Diode-Hybrid-Back,198.40575,-173.101,270,top
D80,D_Small,Diode-Hybrid-Back,267.462,-173.101,270,top
D81,D_Small,Diode-Hybrid-Back,286.512,-173.101,270,top
D82,D_Small,Diode-Hybrid-Back,305.562,-173.101,270,top
D83,D_Small,Diode-Hybrid-Back,324.612,-173.101,270,top
D84,D_Small,Diode-Hybrid-Back,342.392,-173.101,270,top
D85,D_Small,Diode-Hybrid-Back,344.932,-173.101,270,top
