Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0805_2012Metric,166.9732,-174.6824,0,bottom
C2,22pF,C_0805_2012Metric,166.9732,-165.158,180,bottom
C3,1uF,C_0805_2012Metric,153.9506,-159.893,180,bottom
C4,100nF,C_0805_2012Metric,161.0939,-177.0635,90,bottom
C5,100nF,C_0805_2012Metric,160.52805,-162.4013,270,bottom
C6,100nF,C_0805_2012Metric,145.2199,-177.00615,270,bottom
C7,10uF,C_0805_2012Metric,146.8073,-163.5706,0,bottom
D1,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,63.5,-80.16875,90,bottom
D2,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,105.56875,-80.16875,90,bottom
D3,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,124.587,-80.16875,90,bottom
D4,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,143.637,-80.10525,90,bottom
D5,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,162.687,-80.10525,90,bottom
D6,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,181.737,-80.23225,90,bottom
D7,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,200.787,-80.23225,90,bottom
D8,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,219.837,-80.23225,90,bottom
D9,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,238.887,-80.23225,90,bottom
D10,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,257.937,-80.23225,90,bottom
D11,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,276.987,-80.23225,90,bottom
D12,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,296.037,-80.23225,90,bottom
D13,D_Small,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,315.087,-80.23225,90,bottom
