Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,22pF,C1804
C3,0805,1,1uF,C28323
"C4, C5, C6",0805,3,100nF,C49678
C7,0805,1,10uF,C15850
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D9",D_SOD-123,85,D_Small,C81598
F1,1206,1,500mA,C70076
G1,cbf_small_flipped,1,FACE,
G2,pasta_small,1,PASTA,
J1,MINI-USB-SMD_MICRO-4P-DIP,1,USB_B_Micro-Connector,C456008
J2,2x3pinsocketOFFSET,1,Conn_02x03_Odd_Even,
MX1,MXOnly-1.5U-NoLED,1,ESC,
MX10,MXOnly-1U-NoLED,1,F9,
MX11,MXOnly-1U-NoLED,1,F10,
MX12,MXOnly-1U-NoLED,1,F11,
MX13,MXOnly-1U-NoLED,1,F12,
MX14,MXOnly-1U-NoLED,1,PN,
MX15,MXOnly-1.5U-NoLED,1,DEL,
MX16,MXOnly-1U-NoLED,1,`,
MX17,MXOnly-1U-NoLED,1,1,
MX18,MXOnly-1U-NoLED,1,2,
MX19,MXOnly-1U-NoLED,1,3,
MX2,MXOnly-1U-NoLED,1,F1,
MX20,MXOnly-1U-NoLED,1,4,
MX21,MXOnly-1U-NoLED,1,5,
MX22,MXOnly-1U-NoLED,1,6,
MX23,MXOnly-1U-NoLED,1,7,
MX24,MXOnly-1U-NoLED,1,8,
MX25,MXOnly-1U-NoLED,1,9,
MX26,MXOnly-1U-NoLED,1,0,
MX27,MXOnly-1U-NoLED,1,-_,
MX28,MXOnly-1U-NoLED,1,=+,
MX29,MXOnly-2U-NoLED,1,BKSPC,
MX3,MXOnly-1U-NoLED,1,F2,
MX30,MXOnly-1U-NoLED,1,HOME,
MX31,MXOnly-1.5U-NoLED,1,TAB,
MX32,MXOnly-1U-NoLED,1,Q,
MX33,MXOnly-1U-NoLED,1,W,
MX34,MXOnly-1U-NoLED,1,E,
MX35,MXOnly-1U-NoLED,1,R,
MX36,MXOnly-1U-NoLED,1,T,
MX37,MXOnly-1U-NoLED,1,Y,
MX38,MXOnly-1U-NoLED,1,U,
MX39,MXOnly-1U-NoLED,1,I,
MX4,MXOnly-1U-NoLED,1,F3,
MX40,MXOnly-1U-NoLED,1,O,
MX41,MXOnly-1U-NoLED,1,P,
MX42,MXOnly-1U-NoLED,1,[{,
MX43,MXOnly-1U-NoLED,1,]},
MX44,MXOnly-1.5U-NoLED,1,\|,
MX45,MXOnly-1U-NoLED,1,PGUP,
MX46,MXOnly-Stepped-Caps-XD75,1,CAPS,
MX47,MXOnly-1U-NoLED,1,A,
MX48,MXOnly-1U-NoLED,1,S,
MX49,MXOnly-1U-NoLED,1,D,
MX5,MXOnly-1U-NoLED,1,F4,
MX50,MXOnly-1U-NoLED,1,F,
MX51,MXOnly-1U-NoLED,1,G,
MX52,MXOnly-1U-NoLED,1,H,
MX53,MXOnly-1U-NoLED,1,J,
MX54,MXOnly-1U-NoLED,1,K,
MX55,MXOnly-1U-NoLED,1,L,
MX56,MXOnly-1U-NoLED,1,;:,
MX57,MXOnly-1U-NoLED,1,"'""",
"MX58, MX62",MXOnly-1U-NoLED,2,ISO,
MX59,MXOnly-ISO-ANSI-Enter-ReversedStabilizers,1,ENTER,
MX6,MXOnly-1U-NoLED,1,F5,
MX60,MXOnly-1U-NoLED,1,PGDN,
MX61,MXOnly-Split-LShift,1,LSHIFT,
MX63,MXOnly-1U-NoLED,1,Z,
MX64,MXOnly-1U-NoLED,1,X,
MX65,MXOnly-1U-NoLED,1,C,
MX66,MXOnly-1U-NoLED,1,V,
MX67,MXOnly-1U-NoLED,1,B,
MX68,MXOnly-1U-NoLED,1,N,
MX69,MXOnly-1U-NoLED,1,M,
MX7,MXOnly-1U-NoLED,1,F6,
MX70,MXOnly-1U-NoLED,1,",<",
MX71,MXOnly-1U-NoLED,1,.>,
MX72,MXOnly-1U-NoLED,1,/?,
MX73,MXOnly-1.75U-NoLED,1,RSHIFT,
MX74,MXOnly-1U-NoLED,1,↑,
MX75,MXOnly-1U-NoLED,1,END,
MX76,MXOnly-1.25U-NoLED,1,LCTRL,
MX77,MXOnly-1.25U-NoLED,1,LGUI,
MX78,MXOnly-1.25U-NoLED,1,LALT,
MX79,MXOnly-6.25U-ReversedStabilizers-NoLED,1,SPACE,
MX8,MXOnly-1U-NoLED,1,F7,
MX80,MXOnly-1U-NoLED,1,RALT,
MX81,MXOnly-1U-NoLED,1,FN,
MX82,MXOnly-1U-NoLED,1,RCTRL,
MX83,MXOnly-1U-NoLED,1,←,
MX84,MXOnly-1U-NoLED,1,↓,
MX85,MXOnly-1U-NoLED,1,→,
MX9,MXOnly-1U-NoLED,1,F8,
"R1, R2",0805,2,22,C17561
R3,0805,1,470,C17710
"R4, R5",0805,2,10k,C17414
U1,ATMEGA32U4-AU,1,ATmega32U4-AU,C44854
U2,SOT-23-6,1,SRV05-4,C85364
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C13738
