Designator,Mid X,Mid Y,Rotation,Layer
C1,-43.3388,-49.2064,180.0,bottom
C2,-43.3388,-39.682,0.0,bottom
C3,-56.3614,-34.417,0.0,bottom
C4,-49.2181,-51.5875,90.0,bottom
C5,-49.78395,-36.9253,270.0,bottom
C6,-65.0921,-51.53015,270.0,bottom
C7,-63.5047,-38.0946,180.0,bottom
D1,-146.812,45.30725,90.0,bottom
D10,47.625,45.30725,90.0,bottom
D11,66.675,45.30725,90.0,bottom
D12,85.725,45.30725,90.0,bottom
D13,104.775,45.30725,90.0,bottom
D14,123.825,45.30725,90.0,bottom
D15,128.5875,45.30725,90.0,bottom
D16,-133.35,26.9875,90.0,bottom
D17,-114.3,26.9875,90.0,bottom
D18,-95.25,26.9875,90.0,bottom
D19,-76.2,26.9875,90.0,bottom
D2,-104.74325,45.30725,90.0,bottom
D20,-57.15,26.9875,90.0,bottom
D21,-38.1,26.9875,90.0,bottom
D22,-19.05,26.9875,90.0,bottom
D23,0.0,26.9875,90.0,bottom
D24,19.05,26.9875,90.0,bottom
D25,38.1,26.9875,90.0,bottom
D26,57.15,26.9875,90.0,bottom
D27,76.2,26.9875,90.0,bottom
D28,95.25,26.9875,90.0,bottom
D29,123.825,26.9875,90.0,bottom
D3,-85.725,45.30725,90.0,bottom
D30,133.35,26.9875,90.0,bottom
D31,-146.84375,7.9375,90.0,bottom
D32,-104.775,7.9375,90.0,bottom
D33,-85.725,7.9375,90.0,bottom
D34,-66.675,7.9375,90.0,bottom
D35,-47.625,7.9375,90.0,bottom
D36,-28.575,7.9375,90.0,bottom
D37,-9.525,7.9375,90.0,bottom
D38,9.525,7.9375,90.0,bottom
D39,28.575,7.9375,90.0,bottom
D4,-66.675,45.30725,90.0,bottom
D40,47.625,7.9375,90.0,bottom
D41,66.675,7.9375,90.0,bottom
D42,84.1375,7.9375,90.0,bottom
D43,87.3125,7.9375,90.0,bottom
D44,128.5875,7.14375,90.0,bottom
D45,133.35,7.14375,90.0,bottom
D46,-147.71525,-11.1125,90.0,bottom
D47,-100.0125,-11.1125,90.0,bottom
D48,-80.9625,-11.1125,90.0,bottom
D49,-61.9125,-11.1125,90.0,bottom
D5,-47.625,45.30725,90.0,bottom
D50,-44.45,-11.1125,90.0,bottom
D51,-41.275,-11.1125,90.0,bottom
D52,-4.7625,-11.1125,90.0,bottom
D53,14.2875,-11.1125,90.0,bottom
D54,33.3375,-11.1125,90.0,bottom
D55,52.3875,-11.1125,90.0,bottom
D56,71.4375,-11.1125,90.0,bottom
D57,88.901,-11.1125,90.0,bottom
D58,92.0758,-11.1125,90.0,bottom
D59,121.44375,-11.1125,90.0,bottom
D6,-28.575,45.30725,90.0,bottom
D60,133.35,-11.1125,90.0,bottom
D61,-147.6216,-30.1625,90.0,bottom
D62,-109.53915,-30.1625,90.0,bottom
D63,-90.4875,-30.1625,90.0,bottom
D64,-71.4375,-30.1625,90.0,bottom
D65,-52.3875,-30.1625,90.0,bottom
D66,-33.3375,-30.1625,90.0,bottom
D67,-14.2875,-30.1625,90.0,bottom
D68,4.7625,-30.1625,90.0,bottom
D69,23.8125,-30.1625,90.0,bottom
D7,-9.525,45.30725,90.0,bottom
D70,42.8625,-30.1625,90.0,bottom
D71,61.9125,-30.1625,90.0,bottom
D72,80.9625,-30.1625,90.0,bottom
D73,107.15625,-30.1625,90.0,bottom
D74,114.3,-30.1625,90.0,bottom
D75,133.35,-30.1625,90.0,bottom
D76,-148.43125,-49.2125,90.0,bottom
D77,-107.15625,-49.2125,90.0,bottom
D78,-83.34375,-49.2125,90.0,bottom
D79,-11.90625,-49.2125,90.0,bottom
D8,9.525,45.30725,90.0,bottom
D80,57.15,-49.2125,90.0,bottom
D81,76.2,-49.2125,90.0,bottom
D82,95.25,-49.2125,90.0,bottom
D83,114.3,-49.2125,90.0,bottom
D84,132.08,-49.2125,90.0,bottom
D85,134.62,-49.2125,90.0,bottom
D9,28.575,45.30725,90.0,bottom
F1,-133.35,38.1,90.0,bottom
G1,-57.023,0.508,0.0,top
G2,42.037,12.192,0.0,top
J1,-126.43005,52.68,180.0,bottom
J2,-79.25,-51.75,180.0,top
MX1,-138.1125,47.625,0.0,top
MX10,38.1,47.625,0.0,top
MX11,57.15,47.625,0.0,top
MX12,76.2,47.625,0.0,top
MX13,95.25,47.625,0.0,top
MX14,114.3,47.625,0.0,top
MX15,138.1125,47.625,0.0,top
MX16,-142.875,28.575,0.0,top
MX17,-123.825,28.575,0.0,top
MX18,-104.775,28.575,0.0,top
MX19,-85.725,28.575,0.0,top
MX2,-114.3,47.625,0.0,top
MX20,-66.675,28.575,0.0,top
MX21,-47.625,28.575,0.0,top
MX22,-28.575,28.575,0.0,top
MX23,-9.525,28.575,0.0,top
MX24,9.525,28.575,0.0,top
MX25,28.575,28.575,0.0,top
MX26,47.625,28.575,0.0,top
MX27,66.675,28.575,0.0,top
MX28,85.725,28.575,0.0,top
MX29,114.29746,28.575,0.0,top
MX3,-95.25,47.625,0.0,top
MX30,142.875,28.575,0.0,top
MX31,-138.1125,9.525,0.0,top
MX32,-114.3,9.525,0.0,top
MX33,-95.25,9.525,0.0,top
MX34,-76.2,9.525,0.0,top
MX35,-57.15,9.525,0.0,top
MX36,-38.1,9.525,0.0,top
MX37,-19.05,9.525,0.0,top
MX38,0.0,9.525,0.0,top
MX39,19.05,9.525,0.0,top
MX4,-76.2,47.625,0.0,top
MX40,38.1,9.525,0.0,top
MX41,57.15,9.525,0.0,top
MX42,76.2,9.525,0.0,top
MX43,95.25,9.525,0.0,top
MX44,119.0,9.51,0.0,top
MX45,142.875,9.525,0.0,top
MX46,-135.73125,-9.525,0.0,top
MX47,-109.5375,-9.525,0.0,top
MX48,-90.4875,-9.525,0.0,top
MX49,-71.4375,-9.525,0.0,top
MX5,-57.15,47.625,0.0,top
MX50,-52.3875,-9.525,0.0,top
MX51,-33.3375,-9.525,0.0,top
MX52,-14.2875,-9.525,0.0,top
MX53,4.7625,-9.525,0.0,top
MX54,23.8125,-9.525,0.0,top
MX55,42.8625,-9.525,0.0,top
MX56,61.9125,-9.525,0.0,top
MX57,80.9625,-9.525,0.0,top
MX58,99.99,-9.53,0.0,top
MX59,111.9,-9.53,0.0,top
MX6,-38.1,47.625,0.0,top
MX60,142.875,-9.525,0.0,top
MX61,-130.9624,-28.55976,0.0,top
MX62,-119.042,-28.574,0.0,top
MX63,-100.0125,-28.575,0.0,top
MX64,-80.9625,-28.575,0.0,top
MX65,-61.9125,-28.575,0.0,top
